,id,title,href,price_50_average
197,VIMCX,Virtus KAR Mid-Cap Core Fund Class I,/quote/VIMCX?p=VIMCX,31.89
198,ARTKX,Artisan International Value Fund Investor Class,/quote/ARTKX?p=ARTKX,27.78
199,TEGYX,Touchstone Mid Cap Growth Fund Class Y,/quote/TEGYX?p=TEGYX,27.15
200,TEGIX,Touchstone Mid Cap Growth Fund Institutional Class,/quote/TEGIX?p=TEGIX,27.44
201,CIPNX,Champlain Small Company Fund Institutional Class,/quote/CIPNX?p=CIPNX,15.27
202,VMACX,Virtus KAR Mid-Cap Core Fund Class A,/quote/VMACX?p=VMACX,31.25
203,FLCCX,Fidelity Advisor Large Cap Fund Class C,/quote/FLCCX?p=FLCCX,20.98
204,TEGAX,Touchstone Mid Cap Growth Fund Class A,/quote/TEGAX?p=TEGAX,25.95
205,VMCCX,Virtus KAR Mid-Cap Core Fund Class C,/quote/VMCCX?p=VMCCX,28.93
206,NSCRX,Nuveen NWQ Small-Cap Value Fund Class I,/quote/NSCRX?p=NSCRX,31.30
207,FALAX,Fidelity Advisor Large Cap Fund Class A,/quote/FALAX?p=FALAX,23.77
208,FIDLX,Fidelity Advisor Large Cap Fund Class Z,/quote/FIDLX?p=FIDLX,25.16
209,CIPSX,Champlain Small Company Fund Class Advisor,/quote/CIPSX?p=CIPSX,15.10
210,JANVX,Janus Henderson Venture Fund Class D,/quote/JANVX?p=JANVX,63.12
211,FRESX,Fidelity Real Estate Investment Portfolio,/quote/FRESX?p=FRESX,36.01
212,NSCFX,Nuveen NWQ Small-Cap Value Fund Class R6,/quote/NSCFX?p=NSCFX,31.68
213,JVTNX,Janus Henderson Venture Fund Class N,/quote/JVTNX?p=JVTNX,63.97
214,JVTIX,Janus Henderson Venture Fund Class I,/quote/JVTIX?p=JVTIX,63.45
215,JAVTX,Janus Henderson Venture Fund Class T,/quote/JAVTX?p=JAVTX,62.12
216,JVTSX,Janus Henderson Venture Fund Class S,/quote/JVTSX?p=JVTSX,60.25
217,PRDMX,T. Rowe Price Diversified Mid Cap Growth Fund,/quote/PRDMX?p=PRDMX,29.90
218,JVTCX,Janus Henderson Venture Fund Class C,/quote/JVTCX?p=JVTCX,55.68
219,SCUVX,Hartford Schroders US Small Cap Opportunities Fund Class A,/quote/SCUVX?p=SCUVX,18.42
220,NSCCX,Nuveen NWQ Small-Cap Value Fund Class C,/quote/NSCCX?p=NSCCX,26.36
221,MECAX,AMG Managers Cadence Emerging Companies Fund - Class N,/quote/MECAX?p=MECAX,35.98
222,TOECX,Touchstone Mid Cap Growth Fund Class C,/quote/TOECX?p=TOECX,15.18
223,HOOTX,Hartford Schroders US Small Cap Opportunities Fund Class R5,/quote/HOOTX?p=HOOTX,19.37
224,SCUIX,Hartford Schroders US Small Cap Opportunities Fund Class I,/quote/SCUIX?p=SCUIX,19.38
225,TVRVX,Third Avenue Real Estate Value Fund Investor Class,/quote/TVRVX?p=TVRVX,19.11
