abbrivate_funds,funds_title,stock_title,stock_href,abbrivate_stock,holding,,
APGCX,AB Large Cap Growth Fund Class C (APGCX),Visa Inc Class A,/quote/V?p=V,V,4.34%,,
APGCX,AB Large Cap Growth Fund Class C (APGCX),Monster Beverage Corp,/quote/MNST?p=MNST,MNST,3.87%,,
APGCX,AB Large Cap Growth Fund Class C (APGCX),Zoetis Inc Class A,/quote/ZTS?p=ZTS,ZTS,3.79%,,
APGCX,AB Large Cap Growth Fund Class C (APGCX),Vertex Pharmaceuticals Inc,/quote/VRTX?p=VRTX,VRTX,3.67%,,
APGCX,AB Large Cap Growth Fund Class C (APGCX),Amazon.com Inc,/quote/AMZN?p=AMZN,AMZN,3.60%,,
APGCX,AB Large Cap Growth Fund Class C (APGCX),Intuitive Surgical Inc,/quote/ISRG?p=ISRG,ISRG,3.31%,,
APGYX,AB Large Cap Growth Fund Advisor Class (APGYX),Alphabet Inc Class C,/quote/GOOG?p=GOOG,GOOG,6.95%,,
APGYX,AB Large Cap Growth Fund Advisor Class (APGYX),Microsoft Corp,/quote/MSFT?p=MSFT,MSFT,6.95%,,
APGYX,AB Large Cap Growth Fund Advisor Class (APGYX),Facebook Inc A,/quote/FB?p=FB,FB,5.23%,,
APGYX,AB Large Cap Growth Fund Advisor Class (APGYX),UnitedHealth Group Inc,/quote/UNH?p=UNH,UNH,4.35%,,
APGYX,AB Large Cap Growth Fund Advisor Class (APGYX),Visa Inc Class A,/quote/V?p=V,V,4.34%,,
